sample-id	forward-absolute-filepath	reverse-absolute-filepath
IowaWound.Human.417	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.417_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.417_2.fastq.gz
IowaWound.Human.510	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.510_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.510_2.fastq.gz
IowaWound.Human.584	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.584_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.584_2.fastq.gz
IowaWound.Human.604	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.604_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.604_2.fastq.gz
IowaWound.Human.675	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.675_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.675_2.fastq.gz
IowaWound.Human.859	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.859_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.859_2.fastq.gz
IowaWound.Human.888	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.888_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.888_2.fastq.gz
IowaWound.Human.913	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.913_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.913_2.fastq.gz
IowaWound.Human.914	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.914_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.914_2.fastq.gz
IowaWound.Human.926	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.926_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.926_2.fastq.gz
IowaWound.Human.929	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.929_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.929_2.fastq.gz
IowaWound.Human.935	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.935_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.935_2.fastq.gz
IowaWound.Human.943	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.943_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.943_2.fastq.gz
IowaWound.Human.944	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.944_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.944_2.fastq.gz
IowaWound.Human.952	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.952_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.952_2.fastq.gz
IowaWound.Human.956	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.956_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.956_2.fastq.gz
IowaWound.Human.962	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.962_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.962_2.fastq.gz
IowaWound.Human.966	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.966_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.966_2.fastq.gz
IowaWound.Human.967	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.967_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.967_2.fastq.gz
IowaWound.Human.968	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.968_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.968_2.fastq.gz
IowaWound.Human.969	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.969_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.969_2.fastq.gz
IowaWound.Human.973	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.973_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.973_2.fastq.gz
IowaWound.Human.979	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.979_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.979_2.fastq.gz
IowaWound.Human.980	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.980_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.980_2.fastq.gz
IowaWound.Human.981	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.981_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.981_2.fastq.gz
IowaWound.Human.983	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.983_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.983_2.fastq.gz
IowaWound.Human.990	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.990_1.fastq.gz	/home/acampbe/IowaWoundData/MiSeqV1V3_35/demultiplexed/MiSeqV1V3_35_barcode_IowaWound.Human.990_2.fastq.gz
